time,tick,casting,active,start,ignite,end,gesture,bottle,streamLength,x,z
3.000000,89,True,False,77,113,137,0.383333,True,0.000000,4.000000,4.000000
3.016667,90,True,False,77,113,137,0.400000,True,0.000000,4.000000,4.000000
3.033333,90,True,False,77,113,137,0.416667,True,0.000000,4.000000,4.000000
3.050000,91,True,False,77,113,137,0.433333,True,0.000000,4.000000,4.000000
3.066667,91,True,False,77,113,137,0.450000,True,0.000000,4.000000,4.000000
3.083333,92,True,False,77,113,137,0.466667,True,0.000000,4.000000,4.000000
3.100000,92,True,False,77,113,137,0.483333,True,0.000000,4.000000,4.000000
3.116667,93,True,False,77,113,137,0.500000,True,0.000000,4.000000,4.000000
3.133333,93,True,False,77,113,137,0.516667,True,0.000000,4.000000,4.000000
3.150000,94,True,False,77,113,137,0.533333,True,0.000000,4.000000,4.000000
3.166667,94,True,False,77,113,137,0.550000,True,0.000000,4.000000,4.000000
3.183333,95,True,False,77,113,137,0.566667,True,0.000000,4.000000,4.000000
3.200000,95,True,False,77,113,137,0.583333,True,0.000000,4.000000,4.000000
3.216667,96,True,False,77,113,137,0.600000,True,0.000000,4.000000,4.000000
3.233333,96,True,False,77,113,137,0.616667,True,0.000000,4.000000,4.000000
3.250000,97,True,False,77,113,137,0.633333,True,0.000000,4.000000,4.000000
3.266667,97,True,False,77,113,137,0.650000,True,0.000000,4.000000,4.000000
3.283333,98,True,False,77,113,137,0.666667,True,0.000000,4.000000,4.000000
3.300000,98,True,False,77,113,137,0.683333,True,0.000000,4.000000,4.000000
3.316667,99,True,False,77,113,137,0.700000,True,0.000000,4.000000,4.000000
3.333333,99,True,False,77,113,137,0.716667,True,0.000000,4.000000,4.000000
3.350000,100,True,False,77,113,137,0.733333,True,0.000000,4.000000,4.000000
3.366667,100,True,False,77,113,137,0.750000,True,0.000000,4.000000,4.000000
3.383333,101,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.400000,101,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.416667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.433333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.450000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.466667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.483333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.500000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.516667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.533333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.550000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.566667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.583333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.600000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.616667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.633333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.650000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.666667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.683333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.700000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.716667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.733333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.750000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.766667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.783333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.800000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.816667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.833333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.850000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.866667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.883333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.900000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.916667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.933333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.950000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.966667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
3.983333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.000000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.016667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.033333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.050000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.066667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.083333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.100000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.116667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.133333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.150000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.166667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.183333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.200000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.216667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.233333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.250000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.266667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.283333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.300000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.316667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.333333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.350000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.366667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.383333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.400000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.416667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.433333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.450000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.466667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.483333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.500000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.516667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.533333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.550000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.566667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.583333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.600000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.616667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.633333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.650000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.666667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.683333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.700000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.716667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.733333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.750000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.766667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.783333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.800000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.816667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.833333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.850000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.866667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.883333,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.900000,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
4.916667,102,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
